[2023-09-22 16:01:00,698] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:01:00] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:01:10,468] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:01:10] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:03:13,850] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:03:13] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:03:27,922] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:03:27] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:04:25,070] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:04:25] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:05:09,860] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:05:09] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:05:21,391] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:05:21] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:10:31,734] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:10:31] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:11:32,411] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:11:32] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 16:11:50,638] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 16:11:50] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
